Date,confirmed,deaths
2020-01-22,1,0
2020-01-23,1,0
2020-01-24,2,0
2020-01-25,2,0
2020-01-26,5,0
2020-01-27,6,0
2020-01-28,6,0
2020-01-29,7,0
2020-01-30,7,0
2020-01-31,8,0
2020-02-01,9,0
2020-02-02,9,0
2020-02-03,11,0
2020-02-04,11,0
2020-02-05,11,0
2020-02-06,11,1
2020-02-07,11,1
2020-02-08,11,1
2020-02-09,11,1
2020-02-10,11,1
2020-02-11,12,1
2020-02-12,12,1
2020-02-13,13,1
2020-02-14,13,1
2020-02-15,13,1
2020-02-16,13,1
2020-02-17,13,2
2020-02-18,14,2
2020-02-19,14,2
2020-02-20,14,2
2020-02-21,17,2
2020-02-22,17,2
2020-02-23,17,2
2020-02-24,18,2
2020-02-25,18,2
2020-02-26,20,2
2020-02-27,21,2
2020-02-28,23,2
2020-02-29,34,3
2020-03-01,40,3
2020-03-02,62,8
2020-03-03,81,9
2020-03-04,116,13
2020-03-05,182,14
2020-03-06,231,19
2020-03-07,376,22
2020-03-08,492,25
2020-03-09,751,31
2020-03-10,1036,34
2020-03-11,1339,40
2020-03-12,1736,44
2020-03-13,2316,51
2020-03-14,2968,61
2020-03-15,3769,68
2020-03-16,4731,100
2020-03-17,6302,119
2020-03-18,9214,161
2020-03-19,14236,222
2020-03-20,19152,263
2020-03-21,26469,345
2020-03-22,33756,445
2020-03-23,43869,586
2020-03-24,53888,799
2020-03-25,68586,1082
2020-03-26,85075,1385
2020-03-27,102595,1783
2020-03-28,122987,2333
2020-03-29,141754,2756
2020-03-30,163705,3402
2020-03-31,186750,4339
2020-04-01,213136,5384
2020-04-02,241856,6653
2020-04-03,277060,8000
2020-04-04,310740,9389
2020-04-05,335452,10891
2020-04-06,365306,12437
2020-04-07,395591,14598
2020-04-08,428205,16679
2020-04-09,462049,18658
2020-04-10,495196,21158
2020-04-11,526272,22908
2020-04-12,553526,24589
2020-04-13,578455,25718
2020-04-14,603829,28871
2020-04-15,633949,31317
2020-04-16,666499,33579
2020-04-17,697434,35557
2020-04-18,725173,37063
2020-04-19,750294,39586
2020-04-20,776787,41404
2020-04-21,802274,44161
2020-04-22,831049,46196
2020-04-23,862704,48011
2020-04-24,900097,50698
2020-04-25,934065,52668
2020-04-26,959548,53803
2020-04-27,982311,55185
2020-04-28,1006417,57433
2020-04-29,1034338,60025
2020-04-30,1063314,62144
2020-05-01,1096406,63957
2020-05-02,1126378,65528
2020-05-03,1151544,66909
2020-05-04,1173202,67904
2020-05-05,1197324,70382
2020-05-06,1220975,72977
2020-05-07,1248587,75018
2020-05-08,1275974,76684
2020-05-09,1301552,78194
2020-05-10,1321677,79067
2020-05-11,1339458,80007
2020-05-12,1360931,81660
2020-05-13,1381593,83369
2020-05-14,1408360,85152
2020-05-15,1433267,86624
2020-05-16,1457778,87770
2020-05-17,1476296,88562
2020-05-18,1497932,89595
2020-05-19,1518530,91138
2020-05-20,1540613,92642
2020-05-21,1566571,93987
2020-05-22,1589930,95218
2020-05-23,1612184,96318
2020-05-24,1632864,96969
2020-05-25,1651945,97643
2020-05-26,1669906,98310
2020-05-27,1689953,99706
2020-05-28,1712451,100885
2020-05-29,1737431,102126
2020-05-30,1760416,102974
2020-05-31,1779260,103566
2020-06-01,1800592,104217
2020-06-02,1821073,105519
2020-06-03,1840539,106515
2020-06-04,1862314,107494
2020-06-05,1891065,108586
2020-06-06,1913966,109365
2020-06-07,1931935,109770
2020-06-08,1948917,110324
2020-06-09,1967494,111291
2020-06-10,1987936,112198
2020-06-11,2010456,113073
2020-06-12,2036160,113841
2020-06-13,2061887,114572
2020-06-14,2082351,114908
2020-06-15,2100930,115312
2020-06-16,2125432,116083
2020-06-17,2149873,116868
2020-06-18,2177044,117567
2020-06-19,2207982,118316
2020-06-20,2239703,118878
2020-06-21,2266567,119143
2020-06-22,2295941,119510
2020-06-23,2330885,120337
2020-06-24,2366293,121090
2020-06-25,2405377,121710
2020-06-26,2451186,122349
2020-06-27,2493452,124736
2020-06-28,2532801,125008
2020-06-29,2572466,125352
2020-06-30,2618817,126623
2020-07-01,2668305,127311
2020-07-02,2723612,127980
2020-07-03,2777448,128582
2020-07-04,2822664,128815
2020-07-05,2864216,129041
2020-07-06,2918437,129427
2020-07-07,2973992,130338
2020-07-08,3031883,131179
2020-07-09,3094776,132166
2020-07-10,3164414,132995
2020-07-11,3224982,133673
2020-07-12,3283122,134132
2020-07-13,3340013,134479
2020-07-14,3408994,135393
2020-07-15,3475150,136286
2020-07-16,3551465,137191
2020-07-17,3620819,138043
2020-07-18,3687023,138999
2020-07-19,3747379,139442
2020-07-20,3804518,139863
2020-07-21,3871366,140985
2020-07-22,3938876,142086
2020-07-23,4006971,143171
2020-07-24,4080745,144296
2020-07-25,4145882,145220
2020-07-26,4202591,145734
2020-07-27,4259226,146858
2020-07-28,4322289,148147
2020-07-29,4398971,149755
2020-07-30,4457572,150679
2020-07-31,4527542,152119
2020-08-01,4587301,153246
2020-08-02,4623301,153621
2020-08-03,4680711,154214
2020-08-04,4732988,155546
2020-08-05,4786596,156802
2020-08-06,4843011,158033
2020-08-07,4903623,159403
2020-08-08,4957906,160374
2020-08-09,5005217,161029
2020-08-10,5048035,161491
2020-08-11,5104558,162906
2020-08-12,5158587,164352
2020-08-13,5210837,165530
2020-08-14,5268157,166698
2020-08-15,5318880,167856
2020-08-16,5357045,168419
2020-08-17,5397990,168911
2020-08-18,5439453,170161
2020-08-19,5484694,171466
2020-08-20,5527967,172593
2020-08-21,5575867,173719
2020-08-22,5620591,174731
2020-08-23,5652983,175181
2020-08-24,5690346,175624
2020-08-25,5728727,176815
2020-08-26,5774225,178226
2020-08-27,5820085,179332
2020-08-28,5865041,180329
2020-08-29,5908557,181421
2020-08-30,5941846,181696
2020-08-31,5977636,182169
2020-09-01,6020629,183243
2020-09-02,6060334,184280
2020-09-03,6102225,185329
2020-09-04,6151910,186280
2020-09-05,6196355,187134
2020-09-06,6226496,187518
2020-09-07,6253047,187766
2020-09-08,6277310,188145
2020-09-09,6311680,189331
2020-09-10,6347016,190372
2020-09-11,6393473,191464
2020-09-12,6432042,192152
2020-09-13,6466472,192524
2020-09-14,6501352,192954
2020-09-15,6536004,194022
2020-09-16,6583732,195178
2020-09-17,6627664,196034
2020-09-18,6675922,196941
2020-09-19,6719512,197636
2020-09-20,6754321,197907
2020-09-21,6792786,198210
2020-09-22,6841366,199136
2020-09-23,6879960,200249
2020-09-24,6925183,201157
2020-09-25,6980039,202067
2020-09-26,7022376,202755
2020-09-27,7060496,203047
2020-09-28,7092989,203369
2020-09-29,7130045,204211
2020-09-30,7174914,205231
2020-10-01,7221687,206075
2020-10-02,7269425,206913
2020-10-03,7321403,207627
2020-10-04,7357744,207936
2020-10-05,7394576,208285
2020-10-06,7435335,208975
2020-10-07,7485138,209907
2020-10-08,7542798,210804
2020-10-09,7599648,211711
2020-10-10,7657074,212487
2020-10-11,7695396,212808
2020-10-12,7738657,213084
2020-10-13,7788954,213838
2020-10-14,7847869,214545
2020-10-15,7914517,215678
2020-10-16,7978149,216515
2020-10-17,8038285,217183
2020-10-18,8083896,217513
2020-10-19,8143113,218072
2020-10-20,8202847,218935
2020-10-21,8263362,220061
2020-10-22,8342968,221019
2020-10-23,8425184,221971
2020-10-24,8478790,222573
2020-10-25,8557636,223025
2020-10-26,8626060,223626
2020-10-27,8697287,224560
2020-10-28,8775801,225478
2020-10-29,8865201,226483
2020-10-30,8961598,227439
2020-10-31,9035243,228180
2020-11-01,9118009,228589
2020-11-02,9203942,229129
2020-11-03,9295911,230396
2020-11-04,9403745,231509
2020-11-05,9521735,232623
2020-11-06,9654105,233782
2020-11-07,9767526,234681
2020-11-08,9872576,235119
2020-11-09,10000553,236026
2020-11-10,10139528,237312
2020-11-11,10286991,238816
2020-11-12,10432149,239592
2020-11-13,10614020,241137
2020-11-14,10778874,242321
2020-11-15,10911221,242911
2020-11-16,11065416,243632
2020-11-17,11208404,245046
2020-11-18,11370414,246912
2020-11-19,11562786,249118
2020-11-20,11736854,250737
2020-11-21,11944551,251694
2020-11-22,12082392,253050
2020-11-23,12252783,254446
2020-11-24,12424880,256352
2020-11-25,12609876,258559
2020-11-26,12719235,259784
2020-11-27,12900683,260973
2020-11-28,13076285,262214
2020-11-29,13192648,262965
2020-11-30,13348064,264376
2020-12-01,13532616,266626
2020-12-02,13735218,269301
2020-12-03,13942292,271969
2020-12-04,14163963,274530
2020-12-05,14371429,276728
2020-12-06,14531341,277799
2020-12-07,14732772,279303
2020-12-08,14955162,281631
2020-12-09,15179428,284795
2020-12-10,15391690,287508
2020-12-11,15627575,290878
2020-12-12,15833404,293088
2020-12-13,16004328,294498
2020-12-14,16210091,296198
